result_id,grain_type,moisture,temperature,nature,created_at,timestamp,status,processed_at,processed_by
21010980050606,Hernes,17.52200,24.79000,0.75519,2024-08-29 13:02:37,2024-08-29 10:04:22.753192,New,,
21010980050608,Nisu,13.91400,26.32500,0.77613,2024-08-29 13:18:06,2024-08-29 10:20:13.19399,New,,
21010980050609,Hernes,13.94700,22.58800,0.78093,2024-08-29 13:42:24,2024-08-29 10:44:10.222572,New,,
21010980050610,Nisu,13.86400,24.31600,0.77563,2024-08-29 14:17:24,2024-08-29 11:20:12.669632,New,,
21010980050611,Nisu,13.53300,24.00000,0.75785,2024-08-29 15:05:16,2024-08-29 12:10:09.409236,New,,
21010980050612,Hernes,14.80100,23.18700,0.78687,2024-08-29 15:45:43,2024-08-29 12:50:13.230852,New,,
21010980050613,Nisu,13.84900,25.77200,0.77069,2024-08-29 16:15:57,2024-08-29 13:17:41.939025,New,,
21010980050614,Hernes,13.11300,23.48000,0.77499,2024-08-29 16:18:01,2024-08-29 13:19:46.967851,New,,
21010980050615,Hernes,13.51800,23.48000,0.77078,2024-08-29 16:32:06,2024-08-29 13:33:52.011915,New,,
21010980050616,Nisu,13.93800,24.45100,0.76723,2024-08-29 16:41:51,2024-08-29 13:43:37.09721,New,,
21010980050618,Oder,22.09500,25.33200,0.44208,2024-08-29 16:55:17,2024-08-29 14:00:02.787688,New,,
21010980050619,Hernes,16.27900,24.91400,0.76583,2024-08-29 17:36:20,2024-08-29 14:40:09.656288,New,,
21010980050620,Nisu,14.01500,23.63800,0.76205,2024-08-29 17:40:17,2024-08-29 14:42:02.430506,New,,
21010980050621,Nisu,13.89600,23.45800,0.76106,2024-08-29 18:21:17,2024-08-29 15:23:01.948895,New,,
21010980050623,Hernes,16.36100,25.93000,0.75692,2024-08-29 18:37:12,2024-08-29 15:40:09.143693,New,,
21010980050624,Nisu,13.46300,20.04800,0.71882,2024-08-30 09:17:21,2024-08-30 06:20:10.885826,New,,
21010980050625,Nisu,16.73600,23.77400,0.78181,2024-08-30 09:43:31,2024-08-30 06:50:11.744829,New,,
21010980050626,Hernes,14.15400,38.34900,0.78068,2024-08-30 10:08:18,2024-08-30 07:10:09.859809,New,,
21010980050627,Hernes,18.19300,23.75100,0.78737,2024-08-30 10:18:06,2024-08-30 07:19:49.963193,New,,
21010980050628,Nisu,16.53400,23.74000,0.78206,2024-08-30 10:18:38,2024-08-30 07:20:23.113565,New,,
21010980050629,Hernes,14.31900,32.14000,0.78687,2024-08-30 10:32:27,2024-08-30 07:34:10.793174,New,,
21010980050630,Hernes,14.19900,28.39200,0.78687,2024-08-30 10:39:55,2024-08-30 07:41:39.723714,New,,
21010980050631,Hernes,13.69900,25.68200,0.78836,2024-08-30 10:45:59,2024-08-30 07:50:13.083403,New,,
21010980050632,Hernes,13.56200,24.51900,0.78415,2024-08-30 10:52:56,2024-08-30 07:54:40.053949,New,,
21010980050633,Hernes,13.59700,24.06700,0.77771,2024-08-30 11:04:30,2024-08-30 08:10:09.350935,New,,
21010980050634,Hernes,13.30700,24.15800,0.77771,2024-08-30 11:17:15,2024-08-30 08:20:12.299149,New,,
21010980050635,Hernes,16.39300,25.75000,0.76212,2024-08-30 11:18:55,2024-08-30 08:20:39.762424,New,,
21010980050636,Hernes,13.26000,24.01100,0.78167,2024-08-30 11:41:14,2024-08-30 08:42:58.080651,New,,
21010980050638,Nisu,15.06500,31.42900,0.78206,2024-08-30 12:08:02,2024-08-30 09:10:09.651567,New,,
21010980050639,Nisu,14.19300,34.33000,0.78922,2024-08-30 12:31:39,2024-08-30 09:33:23.610962,New,,
21010980050640,Hernes,14.24600,25.60300,0.77969,2024-08-30 12:37:33,2024-08-30 09:40:09.907602,New,,
21010980050641,Hernes,16.89400,23.71700,0.75766,2024-08-30 12:43:36,2024-08-30 09:50:13.267888,New,,
