Date,Time,DROPS_SCORE,DROPS_SET_TIMER,SET_BURNERS_TEMP,COOLING_TIME,BOTTOM_TEMP_LIMIT,UPPER_FAN_SET_HZ,LOWER_FAN_SET_HZ,MID_TEMP_LIMIT
07-08-2024,23:15:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:16:11,,0.0,,,,,,
07-08-2024,23:16:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:16:41,,0.0,,,,,,
07-08-2024,23:16:48,,0.0,,,,,,
07-08-2024,23:16:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:17:11,,0.0,,,,,,
07-08-2024,23:17:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:17:41,,0.0,,,,,,
07-08-2024,23:17:48,,0.0,,,,,,
07-08-2024,23:17:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:18:11,,0.0,,,,,,
07-08-2024,23:18:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:18:41,,0.0,,,,,,
07-08-2024,23:18:48,,0.0,,,,,,
07-08-2024,23:18:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:19:11,,0.0,,,,,,
07-08-2024,23:19:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:19:41,,0.0,,,,,,
07-08-2024,23:19:48,,0.0,,,,,,
07-08-2024,23:19:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:20:11,,0.0,,,,,,
07-08-2024,23:20:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:20:41,,0.0,,,,,,
07-08-2024,23:20:48,,0.0,,,,,,
07-08-2024,23:20:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:21:11,,0.0,,,,,,
07-08-2024,23:21:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:21:41,,0.0,,,,,,
07-08-2024,23:21:48,,0.0,,,,,,
07-08-2024,23:21:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:22:11,,0.0,,,,,,
07-08-2024,23:22:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:22:41,,0.0,,,,,,
07-08-2024,23:22:48,,0.0,,,,,,
07-08-2024,23:22:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:23:11,,0.0,,,,,,
07-08-2024,23:23:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:23:41,,0.0,,,,,,
07-08-2024,23:23:48,,0.0,,,,,,
07-08-2024,23:23:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:24:11,,0.0,,,,,,
07-08-2024,23:24:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:24:41,,0.0,,,,,,
07-08-2024,23:24:48,,0.0,,,,,,
07-08-2024,23:24:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:25:11,,0.0,,,,,,
07-08-2024,23:25:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:25:41,,0.0,,,,,,
07-08-2024,23:25:48,,0.0,,,,,,
07-08-2024,23:25:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:26:11,,0.0,,,,,,
07-08-2024,23:26:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:26:41,,0.0,,,,,,
07-08-2024,23:26:48,,0.0,,,,,,
07-08-2024,23:26:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:27:11,,0.0,,,,,,
07-08-2024,23:27:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:27:41,,0.0,,,,,,
07-08-2024,23:27:48,,0.0,,,,,,
07-08-2024,23:27:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:28:11,,0.0,,,,,,
07-08-2024,23:28:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:28:41,,0.0,,,,,,
07-08-2024,23:28:48,,0.0,,,,,,
07-08-2024,23:28:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:29:11,,0.0,,,,,,
07-08-2024,23:29:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:29:41,,0.0,,,,,,
07-08-2024,23:29:48,,0.0,,,,,,
07-08-2024,23:29:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:30:11,,0.0,,,,,,
07-08-2024,23:30:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:30:41,,0.0,,,,,,
07-08-2024,23:30:48,,0.0,,,,,,
07-08-2024,23:30:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:31:11,,0.0,,,,,,
07-08-2024,23:31:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:31:41,,0.0,,,,,,
07-08-2024,23:31:48,,0.0,,,,,,
07-08-2024,23:31:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:32:11,,0.0,,,,,,
07-08-2024,23:32:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:32:41,,0.0,,,,,,
07-08-2024,23:32:48,,0.0,,,,,,
07-08-2024,23:32:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:33:11,,0.0,,,,,,
07-08-2024,23:33:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:33:41,,0.0,,,,,,
07-08-2024,23:33:48,,0.0,,,,,,
07-08-2024,23:33:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:34:11,,0.0,,,,,,
07-08-2024,23:34:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:34:41,,0.0,,,,,,
07-08-2024,23:34:48,,0.0,,,,,,
07-08-2024,23:34:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:35:11,,0.0,,,,,,
07-08-2024,23:35:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:35:41,,0.0,,,,,,
07-08-2024,23:35:48,,0.0,,,,,,
07-08-2024,23:35:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:36:11,,0.0,,,,,,
07-08-2024,23:36:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:36:41,,0.0,,,,,,
07-08-2024,23:36:48,,0.0,,,,,,
07-08-2024,23:36:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:37:11,,0.0,,,,,,
07-08-2024,23:37:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:37:41,,0.0,,,,,,
07-08-2024,23:37:48,,0.0,,,,,,
07-08-2024,23:37:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:38:11,,0.0,,,,,,
07-08-2024,23:38:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:38:41,,0.0,,,,,,
07-08-2024,23:38:48,,0.0,,,,,,
07-08-2024,23:38:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:39:11,,0.0,,,,,,
07-08-2024,23:39:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:39:41,,0.0,,,,,,
07-08-2024,23:39:48,,0.0,,,,,,
07-08-2024,23:39:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:40:11,,0.0,,,,,,
07-08-2024,23:40:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:40:41,,0.0,,,,,,
07-08-2024,23:40:48,,0.0,,,,,,
07-08-2024,23:40:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:41:11,,0.0,,,,,,
07-08-2024,23:41:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:41:41,,0.0,,,,,,
07-08-2024,23:41:48,,0.0,,,,,,
07-08-2024,23:41:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:42:11,,0.0,,,,,,
07-08-2024,23:42:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:42:41,,0.0,,,,,,
07-08-2024,23:42:48,,0.0,,,,,,
07-08-2024,23:42:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:43:11,,0.0,,,,,,
07-08-2024,23:43:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:43:41,,0.0,,,,,,
07-08-2024,23:43:48,,0.0,,,,,,
07-08-2024,23:43:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:44:11,,0.0,,,,,,
07-08-2024,23:44:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:44:41,,0.0,,,,,,
07-08-2024,23:44:48,,0.0,,,,,,
07-08-2024,23:44:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:45:11,,0.0,,,,,,
07-08-2024,23:45:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:45:41,,0.0,,,,,,
07-08-2024,23:45:48,,0.0,,,,,,
07-08-2024,23:45:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:46:11,,0.0,,,,,,
07-08-2024,23:46:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:46:41,,0.0,,,,,,
07-08-2024,23:46:48,,0.0,,,,,,
07-08-2024,23:46:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:47:11,,0.0,,,,,,
07-08-2024,23:47:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:47:41,,0.0,,,,,,
07-08-2024,23:47:48,,0.0,,,,,,
07-08-2024,23:47:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:48:11,,0.0,,,,,,
07-08-2024,23:48:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:48:41,,0.0,,,,,,
07-08-2024,23:48:48,,0.0,,,,,,
07-08-2024,23:48:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:49:11,,0.0,,,,,,
07-08-2024,23:49:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:49:41,,0.0,,,,,,
07-08-2024,23:49:48,,0.0,,,,,,
07-08-2024,23:49:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:50:11,,0.0,,,,,,
07-08-2024,23:50:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:50:41,,0.0,,,,,,
07-08-2024,23:50:48,,0.0,,,,,,
07-08-2024,23:50:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:51:11,,0.0,,,,,,
07-08-2024,23:51:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:51:41,,0.0,,,,,,
07-08-2024,23:51:48,,0.0,,,,,,
07-08-2024,23:51:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:52:11,,0.0,,,,,,
07-08-2024,23:52:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:52:41,,0.0,,,,,,
07-08-2024,23:52:48,,0.0,,,,,,
07-08-2024,23:52:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:53:11,,0.0,,,,,,
07-08-2024,23:53:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:53:41,,0.0,,,,,,
07-08-2024,23:53:48,,0.0,,,,,,
07-08-2024,23:53:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:54:11,,0.0,,,,,,
07-08-2024,23:54:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:54:41,,0.0,,,,,,
07-08-2024,23:54:48,,0.0,,,,,,
07-08-2024,23:54:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:55:11,,0.0,,,,,,
07-08-2024,23:55:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:55:41,,0.0,,,,,,
07-08-2024,23:55:48,,0.0,,,,,,
07-08-2024,23:55:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:56:11,,0.0,,,,,,
07-08-2024,23:56:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:56:41,,0.0,,,,,,
07-08-2024,23:56:48,,0.0,,,,,,
07-08-2024,23:56:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:57:11,,0.0,,,,,,
07-08-2024,23:57:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:57:41,,0.0,,,,,,
07-08-2024,23:57:48,,0.0,,,,,,
07-08-2024,23:57:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:58:11,,0.0,,,,,,
07-08-2024,23:58:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:58:41,,0.0,,,,,,
07-08-2024,23:58:48,,0.0,,,,,,
07-08-2024,23:58:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:59:11,,0.0,,,,,,
07-08-2024,23:59:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:59:41,,0.0,,,,,,
07-08-2024,23:59:48,,0.0,,,,,,
07-08-2024,23:59:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:00:11,,0.0,,,,,,
08-08-2024,00:00:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:00:41,,0.0,,,,,,
08-08-2024,00:00:48,,0.0,,,,,,
08-08-2024,00:00:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:01:11,,0.0,,,,,,
08-08-2024,00:01:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:01:41,,0.0,,,,,,
08-08-2024,00:01:48,,0.0,,,,,,
08-08-2024,00:01:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:02:11,,0.0,,,,,,
08-08-2024,00:02:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:02:41,,0.0,,,,,,
08-08-2024,00:02:48,,0.0,,,,,,
08-08-2024,00:02:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:03:11,,0.0,,,,,,
08-08-2024,00:03:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:03:41,,0.0,,,,,,
08-08-2024,00:03:48,,0.0,,,,,,
08-08-2024,00:03:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:04:11,,0.0,,,,,,
08-08-2024,00:04:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:04:41,,0.0,,,,,,
08-08-2024,00:04:48,,0.0,,,,,,
08-08-2024,00:04:52,1707,79.0,85.0,10,60.0,40,40,55.0
