Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-10 18:31:00,2024-08-10 19:01:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-10 19:05:00,2024-08-10 19:37:00,32.0
MIDDLE_LEVEL_ALARM,2024-08-10 19:43:00,2024-08-10 20:12:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-10 20:16:00,2024-08-10 20:46:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-10 20:52:00,2024-08-10 21:06:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-10 23:09:00,2024-08-10 23:44:00,35.0
MIDDLE_LEVEL_ALARM,2024-08-10 23:46:00,2024-08-11 00:06:00,20.0
MIDDLE_LEVEL_ALARM,2024-08-11 00:11:00,2024-08-11 00:33:00,22.0
MIDDLE_LEVEL_ALARM,2024-08-11 01:53:00,2024-08-11 02:03:00,10.0
MIDDLE_LEVEL_ALARM,2024-08-11 02:06:00,2024-08-11 08:03:00,357.0
MIDDLE_LEVEL_ALARM,2024-08-11 08:09:00,2024-08-11 08:22:00,13.0
MIDDLE_LEVEL_ALARM,2024-08-11 08:26:00,2024-08-11 08:46:00,20.0
MIDDLE_LEVEL_ALARM,2024-08-11 09:03:00,2024-08-11 09:20:00,17.0
MIDDLE_LEVEL_ALARM,2024-08-11 09:24:00,2024-08-11 09:46:00,22.0
MIDDLE_LEVEL_ALARM,2024-08-11 09:50:00,2024-08-11 10:11:00,21.0
MIDDLE_LEVEL_ALARM,2024-08-11 10:15:00,2024-08-11 10:28:00,13.0
MIDDLE_LEVEL_ALARM,2024-08-11 10:36:00,2024-08-11 10:59:00,23.0
MIDDLE_LEVEL_ALARM,2024-08-11 11:01:00,2024-08-11 11:07:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 11:09:00,2024-08-11 11:27:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-11 11:29:00,2024-08-11 11:36:00,7.0
MIDDLE_LEVEL_ALARM,2024-08-11 11:38:00,2024-08-11 12:04:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-11 12:06:00,2024-08-11 12:32:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-11 12:34:00,2024-08-11 12:53:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-11 12:55:00,2024-08-11 13:00:00,5.0
MIDDLE_LEVEL_ALARM,2024-08-11 13:03:00,2024-08-11 13:24:00,21.0
MIDDLE_LEVEL_ALARM,2024-08-11 13:26:00,2024-08-11 13:32:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 13:35:00,2024-08-11 13:56:00,21.0
